time_et,code,name,price,win_ret_pct,span_sec,day_ret_pct,vol_surge,turnover
2026-08-31 11:32:17,US.PSQL,Pasqal Holding,21.2650,5.32,59,11.28,3.94,9023248
2026-08-31 11:32:17,US.EDRY,EuroDry,50.4200,1.04,59,0.09,2.16,3286650
2026-08-31 11:32:47,US.OOMA,Ooma,21.8300,0.99,89,-4.71,4.10,2944606
2026-08-31 11:35:13,US.PSQL,Pasqal Holding,21.5000,5.24,93,12.51,2.95,10238661
2026-08-31 11:35:42,US.AEHL,Antelope Enterprise,6.8200,5.74,31,92.66,3.03,171208003
2026-08-31 11:36:43,US.PGEN,Precigen,6.9150,2.14,177,-0.50,5.17,10318536
2026-08-31 11:37:40,US.PSQL,Pasqal Holding,22.7299,5.29,178,18.94,3.16,10964129
2026-08-31 11:37:40,US.PURR,Hyperliquid Strategies,11.6350,-2.19,178,0.22,2.92,171050910
2026-08-31 11:39:13,US.PSQL,Pasqal Holding,23.1250,3.01,60,21.01,8.22,12207833
2026-08-31 11:41:13,US.PSQL,Pasqal Holding,23.6855,3.70,151,23.94,11.65,15665363
2026-08-31 11:41:13,US.ZIP,ZipRecruiter,4.2300,2.05,151,-4.30,2.63,2022545
2026-08-31 11:41:14,US.PSQL,Pasqal Holding,24.6000,4.33,60,28.73,8.45,16391379
2026-08-31 11:43:40,US.DAIC,CID Holdco,3.5700,1.42,64,-23.06,7.90,4399722
2026-08-31 11:43:40,US.BTCT,BTC Digital,1.9800,1.28,64,2.06,2.39,3004098
2026-08-31 11:43:40,US.DPC,DPC Holdings,39.5100,0.86,64,-10.37,3.10,47803814
2026-08-31 11:43:40,US.METC,Ramaco Resources-A,14.6000,0.83,64,9.77,3.24,11379144
2026-08-31 11:44:10,US.MANE,Veradermics,99.3100,1.20,94,1.41,6.24,19802938
2026-08-31 11:44:40,US.SUPV,Grupo Supervielle,8.8350,0.85,120,6.32,4.49,3290475
2026-08-31 11:45:10,US.NCRA,Nocera,2.9840,2.19,120,57.88,2.10,107826755
2026-08-31 11:45:10,US.ODD,ODDITY Tech,14.5000,0.97,120,1.05,8.04,2234996
2026-08-31 11:45:10,US.TXG,10x Genomics,60.5850,0.82,120,-1.55,3.30,45470216
2026-08-31 11:46:10,US.ACRS,Aclaris Therapeutics,5.9550,1.10,120,-0.92,4.46,2682028
2026-08-31 11:46:10,US.BW,Babcock & Wilcox Enterprises,7.3300,0.89,120,2.37,2.12,19636862
2026-08-31 11:46:40,US.ADIG,ADI Global Distribution,21.5000,0.94,120,-2.76,2.98,3535288
2026-08-31 11:47:10,US.SLNH,Soluna Holdings,1.0750,1.42,120,-3.15,2.64,3996390
2026-08-31 11:47:10,US.RGNX,Regenxbio,9.4000,1.18,120,-2.69,2.14,2880641
2026-08-31 11:47:10,US.LGND,Ligand Pharmaceuticals,281.7800,0.84,120,0.46,4.91,15769448
2026-08-31 11:47:40,US.OLED,Universal Display,83.3700,0.95,119,0.47,3.73,18706099
2026-08-31 11:48:10,US.EYPT,EyePoint,4.4900,1.01,120,0.22,3.02,4182885
2026-08-31 11:49:10,US.VPG,Vishay Precision Group,61.2800,1.20,120,-2.03,3.33,6372739
2026-08-31 11:49:40,US.KZIA,Kazia Therapeutics,14.2000,0.85,120,4.57,2.63,2303693
2026-08-31 11:50:10,US.ZURA,Zura Bio,5.5400,1.46,120,-3.15,10.05,2629563
2026-08-31 11:50:40,US.CVKD,Cadrenal Therapeutics,2.0390,3.98,121,32.40,35.58,2971916
2026-08-31 11:50:40,US.SLGL,Sol-Gel Technologies,68.2350,1.42,121,-0.84,14.20,2244292
2026-08-31 11:51:40,US.QNRX,Quoin Pharmaceuticals,6.2200,2.20,120,1.63,5.81,2072474
2026-08-31 11:52:10,US.CVKD,Cadrenal Therapeutics,2.0886,7.11,120,35.62,33.11,4540574
2026-08-31 11:54:10,US.PICS,PicS NV,10.6800,0.95,120,6.27,4.83,3152731
2026-08-31 11:55:40,US.CVKD,Cadrenal Therapeutics,2.1890,3.75,120,42.14,22.65,8908311
2026-08-31 11:55:40,US.DXPE,DXP Enterprises,185.9800,1.08,120,0.03,3.76,4780597
